pignum,time_point,pig_weight,temp,pan_wt,wet_wt,Dry_wt_pan,Dry_weight,percent_drymatter,daily_shedding,treatment,total_shedding
77,2,NA,102.7,1.02,1.09,1.31,0.29,26.60550459,5.29831736654804,control,2.30102999566398
87,2,NA,104.3,1.04,1.02,1.33,0.29,28.43137255,5.7037824746562,control,2.47712125471966
122,2,NA,104.4,1.02,0.99,1.11,0.09,9.090909091,13.2176735572087,control,5.74036268949424
160,2,NA,103.5,1.09,1,1.36,0.27,27,6.74523634948436,control,2.92941892571429
191,2,NA,103.7,1.03,1.02,1.27,0.24,23.52941176,5.85793315448346,control,2.54406804435028
224,2,NA,103,1.08,1,1.39,0.31,31,6.47697236288968,control,2.81291335664286
337,2,NA,103.4,1.03,1.02,1.3,0.27,26.47058824,10.6919449129004,control,4.64345267648619
345,2,NA,103.5,1.09,0.99,1.24,0.15,15.15151515,5.85793315448346,control,2.54406804435028
419,2,NA,103.6,1.07,1.07,1.38,0.31,28.97196262,6.68461172766793,control,2.90308998699194
458,2,NA,103.1,1.04,1.06,1.26,0.22,20.75471698,7.64969262371151,control,3.32221929473392
50,2,NA,103.4,1.08,1.02,1.39,0.31,30.39215686,7.3132203870903,RPS,3.17609125905568
93,2,NA,103.1,1.04,1.04,1.33,0.29,27.88461538,7.60090245954208,RPS,3.30102999566398
97,2,NA,102.6,1.06,1.04,1.32,0.26,25,0,RPS,0
181,2,NA,103.2,NA,NA,NA,NA,NA,3.91202300542815,RPS,1.69897000433602
244,2,NA,105.2,1.04,1,1.32,0.28,28,3.91202300542815,RPS,1.69897000433602
321,2,NA,102.1,1.05,1.01,1.36,0.31,30.69306931,0,RPS,0
355,2,NA,102.4,1.07,1.04,1.32,0.25,24.03846154,6.21460809842219,RPS,2.69897000433602
373,2,NA,103.1,1.04,1.01,1.28,0.24,23.76237624,4.60517018598809,RPS,2
392,2,NA,103,1.09,1.01,1.36,0.27,26.73267327,6.21460809842219,RPS,2.69897000433602
26,2,NA,102.7,1.02,1.01,1.31,0.29,28.71287129,3.91202300542815,Acid,1.69897000433602
52,2,NA,103.5,1.04,1.03,1.32,0.28,27.18446602,3.91202300542815,Acid,1.69897000433602
126,2,NA,102.4,1.01,1.01,1.28,0.27,26.73267327,3.91202300542815,Acid,1.69897000433602
152,2,NA,103,1.1,1,1.37,0.27,27,5.99146454710798,Acid,2.60205999132796
178,2,NA,101.7,1.08,1.04,1.34,0.26,25,3.91202300542815,Acid,1.69897000433602
211,2,NA,103.1,1.09,1.02,1.36,0.27,26.47058824,4.60517018598809,Acid,2
348,2,NA,103.4,1.03,1.04,1.24,0.21,20.19230769,11.3504065354725,Acid,4.92941892571429
361,2,NA,102.8,1.03,1.02,1.33,0.3,29.41176471,9.95227771670556,Acid,4.32221929473392
378,2,NA,103.2,1.05,1.04,1.22,0.17,16.34615385,3.91202300542815,Acid,1.69897000433602
426,2,NA,102.5,1.05,1,1.31,0.26,26,0,Acid,0
74,2,NA,102.8,1.09,1,1.39,0.3,30,3.91202300542815,Zn+Cu,1.69897000433602
83,2,NA,103.9,1.08,1.01,1.35,0.27,26.73267327,10.5966347330961,Zn+Cu,4.60205999132796
219,2,NA,103.7,1.09,1,1.27,0.18,18,11.2252433925184,Zn+Cu,4.8750612633917
265,2,NA,103,1.08,1.01,1.39,0.31,30.69306931,5.01063529409626,Zn+Cu,2.17609125905568
295,2,NA,103.1,1.08,1.04,1.36,0.28,26.92307692,6.21460809842219,Zn+Cu,2.69897000433602
326,2,NA,104.6,1.07,1.09,1.38,0.31,28.44036697,7.3132203870903,Zn+Cu,3.17609125905568
422,2,NA,102.6,1.02,1.02,1.31,0.29,28.43137255,6.21460809842219,Zn+Cu,2.69897000433602
432,2,NA,102.9,1.07,1.05,1.35,0.28,26.66666667,4.60517018598809,Zn+Cu,2
450,2,NA,102.5,1.03,1.06,1.25,0.22,20.75471698,3.91202300542815,Zn+Cu,1.69897000433602
472,2,NA,103.2,1.05,1.07,1.31,0.26,24.29906542,5.85793315448346,Zn+Cu,2.54406804435028
22,2,NA,102.1,1.04,1.02,1.29,0.25,24.50980392,9.21034037197618,RCS,4
43,2,NA,102.5,1.08,1.06,1.36,0.28,26.41509434,5.01063529409626,RCS,2.17609125905568
65,2,NA,102.3,1.06,0.99,1.32,0.26,26.26262626,4.60517018598809,RCS,2
119,2,NA,103.8,1.04,1.05,1.35,0.31,29.52380952,3.91202300542815,RCS,1.69897000433602
138,2,NA,104,1.03,1.02,1.31,0.28,27.45098039,3.91202300542815,RCS,1.69897000433602
175,2,NA,103.9,1.02,1.04,1.25,0.23,22.11538462,7.60090245954208,RCS,3.30102999566398
198,2,NA,103.9,1.05,1.05,1.18,0.13,12.38095238,11.4075649493124,RCS,4.95424250943933
397,2,NA,102.9,1.04,1.04,1.32,0.28,26.92307692,6.21460809842219,RCS,2.69897000433602
453,2,NA,103.1,1.02,1,1.24,0.22,22,6.21460809842219,RCS,2.69897000433602
469,2,NA,102.4,1,0.7,1.2,0.2,28.57142857,6.5510803350434,RCS,2.84509804001426
6,2,NA,104.2,1.03,1.06,1.28,0.25,23.58490566,5.7037824746562,Bglu,2.47712125471966
144,2,NA,103.4,1.07,1,1.38,0.31,31,9.10497985631836,Bglu,3.95424250943932
228,2,NA,102.5,1.04,1,1.25,0.21,21,6.85646198459459,Bglu,2.97772360528885
240,2,NA,103.4,1.05,1.06,1.42,0.37,34.90566038,3.91202300542815,Bglu,1.69897000433602
253,2,NA,103.9,1.07,1.03,1.25,0.18,17.47572816,8.51719319141624,Bglu,3.69897000433602
461,2,NA,102.7,1.09,1.06,1.34,0.25,23.58490566,4.60517018598809,Bglu,2
8,2,NA,103.3,1.08,1.03,1.39,0.31,30.09708738,0,Bglu,0
141,2,NA,103.6,NA,NA,NA,NA,NA,6.30991827822652,Bglu,2.74036268949424
226,2,NA,102,1.08,1.07,1.39,0.31,28.97196262,3.91202300542815,Bglu,1.69897000433602
237,2,NA,104.8,1.05,1.01,1.22,0.17,16.83168317,6.90775527898214,Bglu,3
77,7,14.88,102.8,1.05,1.06,1.27,0.22,20.75471698,3.91202300542815,control,12.30102999566398
87,7,14.46,102.9,1.03,1.11,1.38,0.35,31.53153153,5.85793315448346,control,15.030094502394512
122,7,19.86,103.3,1.03,1.08,1.24,0.21,19.44444444,3.91202300542815,control,24.33869442406989
160,7,17.54,103.3,1.02,1.03,1.3,0.28,27.18446602,6.47697236288968,control,17.285249631607165
191,7,18.08,102.3,1.03,1.01,1.31,0.28,27.72277228,4.60517018598809,control,13.90423815522598
224,7,12.08,102.5,1.04,1.01,1.31,0.27,26.73267327,10.9150884642146,control,21.69610347198561
