pignum,time_point,pig_weight,daily_shedding,treatment,total_shedding,gain
77,21,25.36,4.60517018598809,control,37.140215041192185,13.92
87,21,23.86,3.91202300542815,control,43.88072767279656,11.7
122,21,33.86,5.01063529409626,control,59.04973393943041,16.8
160,21,28.4,3.91202300542815,control,44.969631425385394,15.099999999999998
191,21,28.88,3.91202300542815,control,38.743423200754194,14.559999999999999
224,21,22.94,3.91202300542815,control,56.12655793074365,11.38
337,21,29.52,5.52146091786225,control,66.20657193070778,16.240000000000002
345,21,33.14,0,control,32.79702818557812,16.96
419,21,31,6.21460809842219,control,51.98984008782492,16.82
458,21,24.62,3.91202300542815,control,41.46695257709693,12.020000000000001
50,21,25.1,0,RPS,39.67801693934886,10.860000000000001
93,21,29.98,3.91202300542815,RPS,43.80102999566398,15.9
97,21,24.94,0,RPS,0,12.88
181,21,34.56,3.91202300542815,RPS,23.785580060704284,16.94
244,21,28.2,3.91202300542815,RPS,49.521825181113606,12.36
321,21,28.76,3.91202300542815,RPS,28.03300507154433,13.520000000000001
355,21,29.76,3.91202300542815,RPS,37.4794000867204,15.260000000000002
373,21,33.3,0,RPS,29.086610056368258,16.74
392,21,29.3,0,RPS,19.640215041192192,16.22
26,21,23.78,4.60517018598809,Acid,35.03300507154433,12.3
52,21,34.66,3.91202300542815,Acid,33.9794000867204,17.179999999999996
126,21,24.32,3.91202300542815,Acid,48.356596169294846,11.9
152,21,29.72,3.91202300542815,Acid,48.55017845530783,14.559999999999999
178,21,33.34,3.91202300542815,Acid,35.785580060704284,16.640000000000004
211,21,28.56,0,Acid,30.892790030352142,14.399999999999999
348,21,27.18,3.91202300542815,Acid,58.53921003821371,12.94
361,21,19.5,0,Acid,40.07710511625494,10.02
378,21,31.64,3.91202300542815,Acid,33.9794000867204,15.72
426,21,35.02,3.91202300542815,Acid,33.45154499349597,17.640000000000004
74,21,24.76,7.24422751560335,Zn+Cu,45.29280930736749,11.220000000000002
83,21,36.24,5.99146454710798,Zn+Cu,64.74016983089523,13.840000000000003
219,21,22.18,7.27931883541462,Zn+Cu,64.27066004039568,9.54
265,21,27.3,5.52146091786225,Zn+Cu,56.065656991381104,12.440000000000001
295,21,35.6,7.43838353004431,Zn+Cu,42.83957629636828,15.760000000000002
326,21,33.22,6.21460809842219,Zn+Cu,47.54211450859135,14.14
422,21,33.64,3.91202300542815,Zn+Cu,42.14830758902224,17.32
432,21,28.58,3.91202300542815,Zn+Cu,39.22682509756045,13.419999999999998
450,21,27.18,3.91202300542815,Zn+Cu,33.9794000867204,13.48
472,21,30.44,3.91202300542815,Zn+Cu,42.355783148721954,15.06
22,21,26.08,4.60517018598809,RCS,43.086610056368265,13.259999999999998
43,21,29.46,0,RCS,32.565656991381104,15.860000000000001
65,21,29.42,3.91202300542815,RCS,40.758460128180246,14.280000000000001
119,21,30.66,3.91202300542815,RCS,33.9794000867204,14.580000000000002
138,21,26.32,3.91202300542815,RCS,33.9794000867204,14.38
175,21,28.9,3.91202300542815,RCS,39.58661005636826,13.379999999999999
198,21,25.66,3.91202300542815,RCS,53.76049390661423,13
397,21,36.3,3.91202300542815,RCS,43.72775619766973,18.859999999999996
453,21,35.56,3.91202300542815,RCS,39.285580060704284,18.060000000000002
469,21,29.62,3.91202300542815,RCS,37.99084821159424,15.48
6,21,28.04,3.91202300542815,Bglu,46.56364552198028,13.579999999999998
144,21,26.78,3.91202300542815,Bglu,31.679033828565835,11.020000000000001
228,21,26.06,3.91202300542815,Bglu,46.28770271633908,11.86
240,21,23.1,0,Bglu,42.34664271313419,8.22
253,21,28.8,3.91202300542815,Bglu,42.785580060704284,13.48
461,21,25.92,0,Bglu,30.892790030352142,13.760000000000002
8,21,33.78,0,Bglu,32.28043008238438,17.560000000000002
141,21,22.52,0,Bglu,38.36153958343914,11.02
226,21,22.4,3.91202300542815,Bglu,36.842127615038365,11.639999999999999
237,21,32.84,0,Bglu,32.58661005636826,16.180000000000003
