"label" "Group" "numOtus"
"27" 0.03 "X1P10N2ACD4" 5802
"28" 0.03 "X1P10N2AFD0" 5802
"29" 0.03 "X1P10N2AFD4" 5802
"30" 0.03 "X1P10N2AID4" 5802
"31" 0.03 "X1P11N2ACD4" 5802
"32" 0.03 "X1P11N2AFD0" 5802
"33" 0.03 "X1P11N2AFD4" 5802
"34" 0.03 "X1P11N2AID4" 5802
"35" 0.03 "X1P12N2BCD4" 5802
"36" 0.03 "X1P12N2BFD0" 5802
"37" 0.03 "X1P12N2BFD4" 5802
"38" 0.03 "X1P12N2BID4" 5802
"39" 0.03 "X1P13N2BCD4" 5802
"40" 0.03 "X1P13N2BFD0" 5802
"41" 0.03 "X1P13N2BFD4" 5802
"42" 0.03 "X1P13N2BID4" 5802
"43" 0.03 "X1P14N2BCD4" 5802
"44" 0.03 "X1P14N2BFD0" 5802
"45" 0.03 "X1P14N2BFD4" 5802
"46" 0.03 "X1P14N2BID4" 5802
"47" 0.03 "X1P15N3ACD4" 5802
"48" 0.03 "X1P15N3AFD0" 5802
"49" 0.03 "X1P15N3AFD4" 5802
"50" 0.03 "X1P15N3AID4" 5802
"51" 0.03 "X1P16N3ACD4" 5802
"52" 0.03 "X1P16N3AFD0" 5802
"53" 0.03 "X1P16N3AFD4" 5802
"54" 0.03 "X1P16N3AID4" 5802
"55" 0.03 "X1P17N3ACD4" 5802
"56" 0.03 "X1P17N3AFD0" 5802
"57" 0.03 "X1P17N3AFD4" 5802
"58" 0.03 "X1P17N3AID4" 5802
"59" 0.03 "X1P18N3ACD4" 5802
"60" 0.03 "X1P18N3AFD0" 5802
"61" 0.03 "X1P18N3AFD4" 5802
"62" 0.03 "X1P18N3AID4" 5802
"63" 0.03 "X1P19N3BCD4" 5802
"64" 0.03 "X1P19N3BFD4" 5802
"65" 0.03 "X1P19N3BID4" 5802
"66" 0.03 "X1P1N1ACD4" 5802
"67" 0.03 "X1P1N1AFD0" 5802
"68" 0.03 "X1P1N1AFD4" 5802
"69" 0.03 "X1P1N1AID4" 5802
"70" 0.03 "X1P20N3BCD4" 5802
"71" 0.03 "X1P20N3BFD0" 5802
"72" 0.03 "X1P20N3BID4" 5802
"73" 0.03 "X1P21N3BCD4" 5802
"74" 0.03 "X1P21N3BFD0" 5802
"75" 0.03 "X1P21N3BFD4" 5802
"76" 0.03 "X1P21N3BID4" 5802
"77" 0.03 "X1P22N1ACD7" 5802
"78" 0.03 "X1P22N1AFD0" 5802
