"Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","id","Date"
2008,6,14,6,806,645,1110,915,"XE",2247,"N11539",184,150,160,115,81,"ORD","IAH",925,4,20,0,"",0,81,0,34,0,0,121397989,"2008/6/14"
2008,6,4,3,2058,2000,2348,2208,"XE",2163,"N14991",110,68,52,100,58,"ORD","CLE",316,5,53,0,"",0,0,0,42,0,58,121398313,"2008/6/4"
2008,6,29,7,2037,2000,2241,2214,"XE",2163,"N15980",64,74,47,27,37,"ORD","CLE",316,5,12,0,"",0,0,6,0,0,21,121406101,"2008/6/29"
2008,6,26,4,637,645,900,917,"XE",2247,"N13956",143,152,129,-17,-8,"ORD","IAH",925,6,8,0,"",0,NA,NA,NA,NA,NA,121406413,"2008/6/26"
2008,6,3,2,824,830,1055,1045,"XE",2736,"N13936",91,75,54,10,-6,"ORD","CLE",316,4,33,0,"",0,NA,NA,NA,NA,NA,121406495,"2008/6/3"
2008,6,17,2,841,830,1050,1045,"XE",2322,"N19966",69,75,49,5,11,"ORD","CLE",316,6,14,0,"",0,NA,NA,NA,NA,NA,121406510,"2008/6/17"
2008,6,1,7,640,645,927,920,"XE",2247,"N12160",167,155,152,7,-5,"ORD","IAH",925,7,8,0,"",0,NA,NA,NA,NA,NA,121406876,"2008/6/1"
2008,6,30,1,640,645,914,917,"XE",2247,"N14902",154,152,131,-3,-5,"ORD","IAH",925,4,19,0,"",0,NA,NA,NA,NA,NA,121406899,"2008/6/30"
2008,6,6,5,829,830,1045,1045,"XE",2736,"N14945",76,75,52,0,-1,"ORD","CLE",316,6,18,0,"",0,NA,NA,NA,NA,NA,121406941,"2008/6/6"
2008,6,11,3,828,830,1045,1045,"XE",2736,"N15910",77,75,54,0,-2,"ORD","CLE",316,8,15,0,"",0,NA,NA,NA,NA,NA,121407693,"2008/6/11"
2008,6,5,4,820,830,1027,1045,"XE",2736,"N12934",67,75,51,-18,-10,"ORD","CLE",316,4,12,0,"",0,NA,NA,NA,NA,NA,121408104,"2008/6/5"
2008,6,19,4,824,830,1033,1045,"XE",2322,"N14105",69,75,52,-12,-6,"ORD","CLE",316,7,10,0,"",0,NA,NA,NA,NA,NA,121408420,"2008/6/19"
2008,6,11,3,2033,2000,2306,2208,"XE",2163,"N14920",93,68,47,58,33,"ORD","CLE",316,4,42,0,"",0,0,1,25,0,32,121408516,"2008/6/11"
2008,6,22,7,1240,645,1505,915,"XE",2247,"N16112",145,150,126,350,355,"ORD","IAH",925,6,13,0,"",0,0,0,1,0,349,121408562,"2008/6/22"
2008,6,9,1,825,830,1040,1045,"XE",2736,"N12160",75,75,56,-5,-5,"ORD","CLE",316,7,12,0,"",0,NA,NA,NA,NA,NA,121409341,"2008/6/9"
2008,6,23,1,824,830,1031,1045,"XE",2322,"N13955",67,75,50,-14,-6,"ORD","CLE",316,6,11,0,"",0,NA,NA,NA,NA,NA,121409383,"2008/6/23"
2008,6,28,6,640,645,906,915,"XE",2247,"N16571",146,150,129,-9,-5,"ORD","IAH",925,7,10,0,"",0,NA,NA,NA,NA,NA,121409513,"2008/6/28"
2008,6,19,4,1208,1210,1455,1455,"XE",2647,"N18101",167,165,145,0,-2,"ORD","IAH",925,9,13,0,"",0,NA,NA,NA,NA,NA,121410134,"2008/6/19"
2008,6,20,5,1221,1210,1557,1455,"XE",2647,"N13538",216,165,145,62,11,"ORD","IAH",925,6,65,0,"",0,0,0,55,0,7,121410628,"2008/6/20"
2008,6,26,4,825,830,1045,1045,"XE",2322,"N27962",80,75,57,0,-5,"ORD","CLE",316,5,18,0,"",0,NA,NA,NA,NA,NA,121410850,"2008/6/26"
2008,6,26,4,1207,1210,1544,1455,"XE",2647,"N16987",217,165,175,49,-3,"ORD","IAH",925,7,35,0,"",0,0,0,49,0,0,121411475,"2008/6/26"
2008,6,30,1,1959,2000,2204,2214,"XE",2163,"N16502",65,74,49,-10,-1,"ORD","CLE",316,3,13,0,"",0,NA,NA,NA,NA,NA,121411500,"2008/6/30"
2008,6,2,1,644,645,914,920,"XE",2247,"N41104",150,155,127,-6,-1,"ORD","IAH",925,7,16,0,"",0,NA,NA,NA,NA,NA,121411645,"2008/6/2"
2008,6,8,7,2035,1720,34,2109,"XE",1282,"N12967",179,169,116,205,195,"ORD","EWR",719,8,55,0,"",0,0,0,26,0,179,121411745,"2008/6/8"
2008,6,14,6,1334,1235,1739,1605,"XE",1292,"N15912",185,150,134,94,59,"ORD","EWR",719,6,45,0,"",0,0,0,94,0,0,121412088,"2008/6/14"
2008,6,24,2,642,645,904,917,"XE",2247,"N16919",142,152,127,-13,-3,"ORD","IAH",925,6,9,0,"",0,NA,NA,NA,NA,NA,121412153,"2008/6/24"
2008,6,24,2,1212,1210,1447,1455,"XE",2647,"N36915",155,165,137,-8,2,"ORD","IAH",925,4,14,0,"",0,NA,NA,NA,NA,NA,121412493,"2008/6/24"
2008,6,16,1,825,830,1029,1045,"XE",2322,"N12540",64,75,49,-16,-5,"ORD","CLE",316,5,10,0,"",0,NA,NA,NA,NA,NA,121412826,"2008/6/16"
2008,6,15,7,1959,2000,2216,2214,"XE",2163,"N18982",77,74,46,2,-1,"ORD","CLE",316,5,26,0,"",0,NA,NA,NA,NA,NA,121413224,"2008/6/15"
2008,6,17,2,641,645,907,917,"XE",2247,"N12540",146,152,124,-10,-4,"ORD","IAH",925,10,12,0,"",0,NA,NA,NA,NA,NA,121413434,"2008/6/17"
2008,6,10,2,839,830,1056,1045,"XE",2736,"N14933",77,75,58,11,9,"ORD","CLE",316,5,14,0,"",0,NA,NA,NA,NA,NA,121413706,"2008/6/10"
2008,6,6,5,639,645,946,920,"XE",2247,"N21130",187,155,157,26,-6,"ORD","IAH",925,14,16,0,"",0,0,0,26,0,0,121413851,"2008/6/6"
2008,6,27,5,743,645,1023,917,"XE",2247,"N26141",160,152,134,66,58,"ORD","IAH",925,7,19,0,"",0,58,0,8,0,0,121414073,"2008/6/27"
2008,6,21,6,714,645,941,915,"XE",2247,"N11137",147,150,128,26,29,"ORD","IAH",925,7,12,0,"",0,26,0,0,0,0,121414091,"2008/6/21"
2008,6,27,5,1220,1210,1558,1455,"XE",2647,"N14153",218,165,149,63,10,"ORD","IAH",925,5,64,0,"",0,0,0,55,0,8,121415057,"2008/6/27"
2008,6,1,7,1809,1720,2110,2109,"XE",1282,"N19966",121,169,96,1,49,"ORD","EWR",719,11,14,0,"",0,NA,NA,NA,NA,NA,121415415,"2008/6/1"
2008,6,20,5,2105,2000,2313,2214,"XE",2163,"N11121",68,74,47,59,65,"ORD","CLE",316,4,17,0,"",0,0,0,7,0,52,121415565,"2008/6/20"
2008,6,9,1,1209,1205,1451,1449,"XE",2647,"N13965",162,164,134,2,4,"ORD","IAH",925,7,21,0,"",0,NA,NA,NA,NA,NA,121415739,"2008/6/9"
2008,6,9,1,639,645,909,920,"XE",2247,"N14116",150,155,130,-11,-6,"ORD","IAH",925,5,15,0,"",0,NA,NA,NA,NA,NA,121416364,"2008/6/9"
2008,6,24,2,825,830,1035,1045,"XE",2322,"N15572",70,75,51,-10,-5,"ORD","CLE",316,7,12,0,"",0,NA,NA,NA,NA,NA,121416904,"2008/6/24"
