"callSign","Date_Time","JulianDay","Time_QC","Latitude","Longitude","Position_QC","Depth","Depth_QC","Temperature","Temperature_QC","Salinity","Salinity_QC","Type"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,2,1,29.83,1,36.59,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,4,1,29.65,1,36.58,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,6,1,29.53,1,36.58,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,8,1,29.49,1,36.58,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,10,1,29.46,1,36.58,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,12,1,29.44,1,36.58,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,14,1,29.41,1,36.57,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,16,1,29.38,1,36.57,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,18,1,29.34,1,36.57,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,20,1,29.31,1,36.57,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,22,1,29.28,1,36.56,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,24,1,29.25,1,36.56,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,26,1,29.25,1,36.56,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,28,1,29.24,1,36.56,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,30,1,29.22,1,36.56,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,32,1,29.2,1,36.55,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,34,1,29.19,1,36.55,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,36,1,29.18,1,36.55,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,38,1,29.18,1,36.54,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,40,1,29.16,1,36.54,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,42,1,29.07,1,36.53,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,44,1,27.71,1,36.5,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,46,1,27.25,1,36.47,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,48,1,27.11,1,36.48,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,50,1,26.92,1,36.48,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,52,1,26.78,1,36.47,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,54,1,26.7,1,36.47,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,56,1,26.63,1,36.47,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,58,1,26.54,1,36.48,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,60,1,26.47,1,36.48,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,62,1,26.41,1,36.49,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,64,1,26.32,1,36.49,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,66,1,26.26,1,36.49,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,68,1,26.18,1,36.49,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,70,1,26.13,1,36.49,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,72,1,26.07,1,36.5,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,74,1,26.02,1,36.5,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,75,1,25.97,1,36.5,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,77,1,25.92,1,36.5,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,79,1,25.87,1,36.5,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,81,1,25.83,1,36.5,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,83,1,25.79,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,85,1,25.76,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,87,1,25.71,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,89,1,25.67,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,91,1,25.61,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,93,1,25.54,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,95,1,25.5,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,97,1,25.48,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,99,1,25.44,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,101,1,25.4,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,103,1,25.38,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,105,1,25.34,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,107,1,25.31,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,109,1,25.27,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,111,1,25.24,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,113,1,25.22,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,115,1,25.18,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,117,1,25.15,1,36.52,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,119,1,25.12,1,36.52,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,121,1,25.09,1,36.52,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,123,1,25.04,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,125,1,25.01,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,127,1,25,1,36.51,1,"Float"
"Q4901043","7/12/2010",2455390.351,1,24.823,-87.964,1,129,1,24.98,1,36.51,1,"Float"
