"Date","Rank","Rank.Last.Week","Days","Movie","Distributor","Gross","Change","Total.Gross","Release","Theaters","Per.Theater"
2017-01-27,1,1,10,"Split","Universal",25655440,-35.8789932012404,77385530,"2017-01-17",3199,8019.83119724914
2017-01-27,2,NA,3,"A Dog’s Purpose","Universal",18222810,NA,18222810,"2017-01-24",3059,5957.11343576332
2017-01-27,3,3,36,"Hidden Figures","20th Century Fox",14003275,-10.929742165018,104024969,"2016-12-22",3351,4178.83467621605
2017-01-27,4,NA,3,"Resident Evil: The Final Ch…","Sony Pictures",13601682,NA,13601682,"2017-01-24",3104,4381.98518041237
2017-01-27,5,5,52,"La La Land","Lionsgate",12233928,45.1653220146274,106693300,"2016-12-06",3136,3901.125
2017-01-27,6,2,10,"xXx: Return of Xander Cage","Paramount Pictures",8601858,-57.2687664100929,33839608,"2017-01-17",3651,2356.02793755136
2017-01-27,7,4,40,"Sing","Universal",6408210,-28.8275590918481,257599585,"2016-12-18",2702,2371.65433012583
2017-01-27,8,6,45,"Rogue One: A Star Wars Story","Walt Disney",5274513,-26.8492483846407,520200086,"2016-12-13",2049,2574.18887262079
2017-01-27,9,7,17,"Monster Trucks","Paramount Pictures",4177101,-40.9396852813151,28212248,"2017-01-10",2496,1673.51802884615
2017-01-27,10,NA,3,"Gold","Weinstein Co.",3471316,NA,3471316,"2017-01-24",2166,1602.63896583564
2017-01-27,11,8,40,"Patriots Day","Lionsgate",2774772,-51.7683941779408,28306013,"2016-12-18",3120,889.35
2017-01-27,12,11,30,"The Founder","Weinstein Co.",2606832,-23.4208610670303,7433899,"2016-12-28",1115,2337.96591928251
2017-01-27,13,12,68,"Moana","Walt Disney",2479845,-8.01014622478606,240170441,"2016-11-20",1894,1309.31626187962
2017-01-27,14,14,66,"Lion","Weinstein Co.",2348719,33.0397122056024,19718591,"2016-11-22",575,4084.72869565217
2017-01-27,15,22,73,"Manchester-by-the Sea","Roadside Attractions",2054739,116.536763233605,41568878,"2016-11-15",1168,1759.19434931507
2017-01-27,16,NA,5,"Raees","ZeeTV",1798379,NA,2369469,"2017-01-22",256,7024.91796875
2017-01-27,17,9,17,"Sleepless","Open Road",1750083,-49.3201402056984,17813578,"2017-01-10",1055,1658.84644549763
2017-01-27,18,23,101,"Moonlight","A24",1489470,150.815440236692,17714849,"2016-10-18",1104,1349.15760869565
2017-01-27,19,28,80,"Arrival","Paramount Pictures",1473440,358.428616319914,97328639,"2016-11-08",1221,1206.74856674857
2017-01-27,20,18,45,"Fences","Paramount Pictures",1443074,18.7967486099929,50822683,"2016-12-13",880,1639.85681818182
2017-01-27,21,10,17,"The Bye Bye Man","STX Entertainment",1125890,-67.1814857512633,21824540,"2017-01-10",1127,999.015084294587
2017-01-27,22,NA,3,"Padre No Tan Padre","Pantelion Films",978894,NA,978894,"2017-01-24",312,3137.48076923077
2017-01-27,23,13,40,"Passengers","Sony Pictures",912226,-59.4027090198005,96203443,"2016-12-18",625,1459.5616
2017-01-27,24,17,36,"20th Century Women","A24",908698,-34.4059965192585,3937201,"2016-12-22",650,1397.99692307692
2017-01-27,25,25,59,"Jackie","Fox Searchlight",666634,75.6944664073289,12185482,"2016-11-29",508,1312.27165354331
2017-01-27,26,20,38,"Silence","Paramount Pictures",614127,-47.3426845047163,6408505,"2016-12-20",316,1943.43987341772
2017-01-27,27,15,24,"Underworld: Blood Wars","Sony Pictures",470276,-72.9548467238499,29756071,"2017-01-03",433,1086.08775981524
2017-01-27,28,19,10,"The Resurrection of Gavin S…","High Top Releasing",465233,-61.4481123593457,2042286,"2017-01-17",879,529.275312855518
2017-01-27,29,35,87,"Hacksaw Ridge","Lionsgate",416398,432.832574090188,65949727,"2016-11-01",502,829.478087649402
2017-01-27,30,21,38,"Why Him?","20th Century Fox",368010,-67.9124661912958,58746027,"2016-12-20",365,1008.24657534247
2017-01-27,31,27,87,"Trolls","20th Century Fox",294118,-12.5114894148653,152746952,"2016-11-01",231,1273.2380952381
