Area name,Agriculture.Male,Agriculture.Female,Manufacturing.Male,Manufacturing.Female,Trade.Male,Trade.Female,Service.Male,Service.Female,School.Male,School.Female,Total.Population
Alabama,226768,64860,15078,1992,14345,90,19449,22676,38600,38539,996992
Arizona Territory,1284,1,883,156,588,3,2979,136,79,70,9658
Arkansas,100669,8641,5992,279,5474,17,8018,6859,33068,29504,484471
California,47580,283,79100,2408,33038,127,65150,10962,46742,44261,560247
Colorado Territory,6462,0,4627,54,2813,2,3245,380,1388,1228,39864
Connecticut,43523,130,70276,16068,24511,209,21150,17554,51276,48356,537454
Dakota Territory,2522,0,439,18,204,0,2562,142,606,522,14181
Delaware,15907,66,8437,1077,3347,90,6615,4774,10525,9440,125015
District of Columbia,1350,15,10071,1634,5852,274,17927,11918,10004,9937,131700
Florida,36944,5548,4025,266,3016,7,6892,4005,6436,6342,187748
Georgia,262152,73993,22262,4778,17336,74,27435,36648,38694,38799,1184109
Idaho Territory,1462,0,7262,11,720,1,1310,113,244,222,14999
Illinois,375407,1034,124112,9109,79876,546,99337,52594,285253,262968,2539891
Indiana,266349,428,72073,3984,36371,146,53466,26552,207983,187246,1680637
Iowa,209907,356,44561,2758,28151,59,38531,19953,160615,145736,1194020
Kansas,72918,310,17403,723,11736,26,15286,5450,32579,30339,364399
Kentucky,257426,3654,39939,4258,24961,331,41974,42050,94745,86460,1321011
Louisianna,114530,26937,23259,2548,23496,335,36883,28464,26009,25250,726915
Maine,81956,55,49265,12742,27880,235,20683,15409,80739,74391,626915
Maryland,79197,1252,56649,6677,34567,975,43278,35948,55476,49959,780894
Massachusetts,72756,54,221793,70872,81077,2001,75917,55374,144720,142662,1457351
Michigan,187036,175,77434,5203,29493,95,52754,51974,137376,126468,1184059
Minnesota,74663,494,17655,933,10559,23,18920,9410,50193,46568,439706
Mississippi,193725,65474,9118,863,9076,72,20430,20092,19907,19234,827922
Missouri,262595,1323,74588,5262,54583,302,75079,31824,170349,153991,1721295
Montana Territory,2110,1,8020,10,1232,1,2515,159,499,420,20595
Nebraska,23083,32,5570,193,4623,5,8667,1664,9467,8481,122993
Nevada,2063,7,13632,157,3621,0,7152,279,1457,1435,42491
New Hampshire,46562,11,32524,14029,8126,388,8821,9707,34378,31446,318300
New Jersey,62943,185,89165,14157,45242,964,54275,29105,81104,76981,906096
New Mexico Territory,18432,236,1444,851,863,0,5542,1993,1097,783,91874
New York,373455,868,397166,79609,229789,4792,233569,171770,433566,413179,4382759
North Carolina,241010,28228,18262,2330,10094,85,23073,28217,33848,31439,1071361
Ohio,396267,757,179394,17616,77690,857,104018,64290,334464,311160,2665260
Oregon,13232,16,8603,91,2611,8,5522,568,9594,8483,90923
Pennsylvania,258772,1279,318049,38191,116714,4539,192674,90326,373697,351302,3521951
Rhode Island,11767,13,32865,14142,9878,230,12349,7330,17952,16958,217353
South Carolina,147708,58946,10871,2923,8250,220,15526,18857,21070,20495,705606
Tennessee,247953,19067,27138,1923,17417,93,30077,24319,63462,57243,1258520
Texas,152722,14031,15063,816,13576,36,27168,13714,33643,31556,818579
Utah Territory,10417,11,3993,114,1648,17,4384,933,7622,7003,86786
Vermont,57889,94,20593,2023,7101,31,9680,11352,36813,33386,330551
Virginia,228082,16468,43983,5430,19992,189,45407,53114,36888,33952,1225163
Washington Territory,3759,12,2638,15,1127,2,2000,207,1878,1654,23955
West Virginia,73725,235,16827,846,6888,9,9636,7063,43912,38281,442014
Wisconsin,158300,1387,49733,3784,21342,192,37898,20172,135195,125407,1054670
Wyoming Territory,164,1,1637,27,1646,0,2898,272,179,185,9118
